epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,328.09,0.82242,0.95513,1,0.13855,0.000255424,0.000255424,0.000255424
2,618.771,0.18008,0.97956,1,0.05578,0.000486426,0.000486426,0.000486426
3,898.871,0.17398,0.95869,1,0.12749,0.00069205,0.00069205,0.00069205
4,1292.89,0.14043,0.98179,1,0.05615,0.000654804,0.000654804,0.000654804
5,1553.64,0.11151,0.98623,1,0.0367,0.000616738,0.000616738,0.000616738
6,1828.4,0.0842,0.99112,1,0.02585,0.000578672,0.000578672,0.000578672
7,2089.04,0.07788,0.98934,1,0.02682,0.000540607,0.000540607,0.000540607
8,2352.59,0.06169,0.99245,1,0.02352,0.000502541,0.000502541,0.000502541
9,2618.81,0.05146,0.99289,1,0.02147,0.000464476,0.000464476,0.000464476
10,2885.06,0.05025,0.99289,1,0.02003,0.000426411,0.000426411,0.000426411
11,3146.29,0.04294,0.99511,1,0.01831,0.000388345,0.000388345,0.000388345
12,3398.46,0.04162,0.99467,1,0.0162,0.00035028,0.00035028,0.00035028
13,3666.44,0.04158,0.99556,1,0.01376,0.000312214,0.000312214,0.000312214
14,3927.77,0.02343,0.99556,1,0.01527,0.000274148,0.000274148,0.000274148
15,4197.03,0.02568,0.99422,1,0.0176,0.000236083,0.000236083,0.000236083
16,4463.54,0.02324,0.99645,1,0.01388,0.000198018,0.000198018,0.000198018
17,4725.86,0.02381,0.996,1,0.01213,0.000159952,0.000159952,0.000159952
18,4985.65,0.01973,0.99689,1,0.01129,0.000121887,0.000121887,0.000121887
19,5241.45,0.01912,0.99778,1,0.00957,8.3821e-05,8.3821e-05,8.3821e-05
20,5520.2,0.01732,0.99733,1,0.00852,4.57555e-05,4.57555e-05,4.57555e-05
