epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,418.432,0.88268,0.97246,1,0.09027,0.000255424,0.000255424,0.000255424
2,857.325,0.21381,0.97423,1,0.08152,0.000501625,0.000501625,0.000501625
3,1224.35,0.19144,0.96624,1,0.09901,0.000737675,0.000737675,0.000737675
4,1531.99,0.17522,0.97912,1,0.0636,0.000723321,0.000723321,0.000723321
5,1846.77,0.13686,0.9809,1,0.0567,0.000708095,0.000708095,0.000708095
6,2126.68,0.13002,0.98667,1,0.0355,0.000692869,0.000692869,0.000692869
7,2400.94,0.1154,0.98623,1,0.03909,0.000677643,0.000677643,0.000677643
8,2696.43,0.09474,0.98445,0.99956,0.04459,0.000662417,0.000662417,0.000662417
9,2978.32,0.09896,0.98578,0.99956,0.03774,0.00064719,0.00064719,0.00064719
10,3250.61,0.08804,0.98712,1,0.04043,0.000631964,0.000631964,0.000631964
11,3518.77,0.09009,0.99067,1,0.02752,0.000616738,0.000616738,0.000616738
12,3787.13,0.07608,0.99289,1,0.02335,0.000601512,0.000601512,0.000601512
13,4042.75,0.05619,0.99067,1,0.02259,0.000586286,0.000586286,0.000586286
14,4290.89,0.06983,0.992,1,0.02486,0.000571059,0.000571059,0.000571059
15,4539.03,0.05996,0.98845,1,0.03383,0.000555833,0.000555833,0.000555833
16,55366.1,0.0717,0.99245,1,0.02061,0.000540607,0.000540607,0.000540607
17,55656.5,0.05731,0.99645,1,0.01491,0.000525381,0.000525381,0.000525381
18,55908.8,0.05686,0.99378,1,0.01505,0.000510155,0.000510155,0.000510155
19,56223.7,0.04782,0.99556,1,0.01559,0.000494928,0.000494928,0.000494928
20,56492,0.05569,0.99156,1,0.02346,0.000479702,0.000479702,0.000479702
21,56740,0.05396,0.99511,1,0.01684,0.000464476,0.000464476,0.000464476
22,56992.8,0.0371,0.99289,1,0.01691,0.00044925,0.00044925,0.00044925
23,57248.1,0.04481,0.99511,1,0.01694,0.000434024,0.000434024,0.000434024
24,57507.6,0.04809,0.996,1,0.01523,0.000418797,0.000418797,0.000418797
25,57759.9,0.03903,0.99689,1,0.00894,0.000403571,0.000403571,0.000403571
26,58009.1,0.04076,0.99556,1,0.01107,0.000388345,0.000388345,0.000388345
27,58259.6,0.03343,0.996,1,0.01143,0.000373119,0.000373119,0.000373119
28,58512.4,0.03853,0.99422,1,0.01613,0.000357893,0.000357893,0.000357893
29,58783.3,0.03663,0.99733,1,0.00842,0.000342666,0.000342666,0.000342666
30,59025.6,0.03149,0.99645,1,0.01005,0.00032744,0.00032744,0.00032744
31,59275.8,0.03348,0.99556,1,0.0147,0.000312214,0.000312214,0.000312214
32,59523.1,0.02781,0.99645,1,0.00722,0.000296988,0.000296988,0.000296988
33,59772.4,0.02851,0.99689,1,0.00932,0.000281762,0.000281762,0.000281762
34,60026.1,0.02599,0.99867,1,0.00714,0.000266535,0.000266535,0.000266535
35,60277.5,0.02809,0.99733,1,0.0092,0.000251309,0.000251309,0.000251309
36,60529.1,0.02054,0.99822,1,0.00901,0.000236083,0.000236083,0.000236083
37,60788.7,0.02238,0.99689,1,0.00677,0.000220857,0.000220857,0.000220857
38,61042.2,0.02165,0.99778,1,0.00583,0.000205631,0.000205631,0.000205631
39,61295.7,0.02005,0.99778,1,0.00663,0.000190404,0.000190404,0.000190404
40,61546.8,0.01945,0.99778,1,0.00651,0.000175178,0.000175178,0.000175178
41,61801.3,0.01265,0.99778,1,0.00846,0.000159952,0.000159952,0.000159952
42,62050.6,0.01577,0.99822,1,0.00624,0.000144726,0.000144726,0.000144726
43,62301.2,0.01815,0.99778,1,0.00607,0.0001295,0.0001295,0.0001295
44,62547.3,0.01556,0.99778,1,0.00808,0.000114273,0.000114273,0.000114273
45,62799.1,0.01451,0.99822,1,0.00632,9.90472e-05,9.90472e-05,9.90472e-05
46,63047.8,0.00877,0.99822,1,0.00675,8.3821e-05,8.3821e-05,8.3821e-05
47,63299.2,0.01177,0.99822,1,0.00654,6.85948e-05,6.85948e-05,6.85948e-05
48,63555,0.0115,0.99822,1,0.00737,5.33686e-05,5.33686e-05,5.33686e-05
49,63807.7,0.01049,0.99911,1,0.00509,3.81424e-05,3.81424e-05,3.81424e-05
50,64061.6,0.01081,0.99822,1,0.00553,2.29162e-05,2.29162e-05,2.29162e-05
